hf (pretrained=meta-llama/Llama-2-7b-hf), gen_kwargs: (), limit: None, num_fewshot: 0, batch_size: 3
|                 Tasks                 |Version|Filter|n-shot|Metric|Value |   |Stderr|
|---------------------------------------|-------|------|-----:|------|-----:|---|-----:|
|mmlu                                   |N/A    |none  |     0|acc   |0.4174|±  |0.0939|
| - humanities                          |N/A    |none  |     0|acc   |0.3972|±  |0.1040|
|  - formal_logic                       |Yaml   |none  |     0|acc   |0.3095|±  |0.0413|
|  - high_school_european_history       |Yaml   |none  |     0|acc   |0.6000|±  |0.0383|
|  - high_school_us_history             |Yaml   |none  |     0|acc   |0.5490|±  |0.0349|
|  - high_school_world_history          |Yaml   |none  |     0|acc   |0.5907|±  |0.0320|
|  - international_law                  |Yaml   |none  |     0|acc   |0.5950|±  |0.0448|
|  - jurisprudence                      |Yaml   |none  |     0|acc   |0.5278|±  |0.0483|
|  - logical_fallacies                  |Yaml   |none  |     0|acc   |0.4969|±  |0.0393|
|  - moral_disputes                     |Yaml   |none  |     0|acc   |0.4104|±  |0.0265|
|  - moral_scenarios                    |Yaml   |none  |     0|acc   |0.2391|±  |0.0143|
|  - philosophy                         |Yaml   |none  |     0|acc   |0.5080|±  |0.0284|
|  - prehistory                         |Yaml   |none  |     0|acc   |0.4444|±  |0.0276|
|  - professional_law                   |Yaml   |none  |     0|acc   |0.3351|±  |0.0121|
|  - world_religions                    |Yaml   |none  |     0|acc   |0.5673|±  |0.0380|
| - other                               |N/A    |none  |     0|acc   |0.4702|±  |0.0704|
|  - business_ethics                    |Yaml   |none  |     0|acc   |0.4400|±  |0.0499|
|  - clinical_knowledge                 |Yaml   |none  |     0|acc   |0.4377|±  |0.0305|
|  - college_medicine                   |Yaml   |none  |     0|acc   |0.4277|±  |0.0377|
|  - global_facts                       |Yaml   |none  |     0|acc   |0.2400|±  |0.0429|
|  - human_aging                        |Yaml   |none  |     0|acc   |0.4529|±  |0.0334|
|  - management                         |Yaml   |none  |     0|acc   |0.4466|±  |0.0492|
|  - marketing                          |Yaml   |none  |     0|acc   |0.6111|±  |0.0319|
|  - medical_genetics                   |Yaml   |none  |     0|acc   |0.4900|±  |0.0502|
|  - miscellaneous                      |Yaml   |none  |     0|acc   |0.5492|±  |0.0178|
|  - nutrition                          |Yaml   |none  |     0|acc   |0.4739|±  |0.0286|
|  - professional_accounting            |Yaml   |none  |     0|acc   |0.3546|±  |0.0285|
|  - professional_medicine              |Yaml   |none  |     0|acc   |0.4301|±  |0.0301|
|  - virology                           |Yaml   |none  |     0|acc   |0.4337|±  |0.0386|
| - social_sciences                     |N/A    |none  |     0|acc   |0.4722|±  |0.0817|
|  - econometrics                       |Yaml   |none  |     0|acc   |0.2719|±  |0.0419|
|  - high_school_geography              |Yaml   |none  |     0|acc   |0.4394|±  |0.0354|
|  - high_school_government_and_politics|Yaml   |none  |     0|acc   |0.5337|±  |0.0360|
