BASE

hf (pretrained=mistralai/Mistral-7B-v0.1), gen_kwargs: (), limit: None, num_fewshot: None, batch_size: 16
|                 Tasks                 |Version|Filter|n-shot|Metric|Value |   |Stderr|
|---------------------------------------|-------|------|-----:|------|-----:|---|-----:|
|mmlu                                   |N/A    |none  |     0|acc   |0.5964|±  |0.1400|
| - humanities                          |N/A    |none  |     0|acc   |0.5360|±  |0.1650|
|  - formal_logic                       |Yaml   |none  |     0|acc   |0.3571|±  |0.0429|
|  - high_school_european_history       |Yaml   |none  |     0|acc   |0.7455|±  |0.0340|
|  - high_school_us_history             |Yaml   |none  |     0|acc   |0.7598|±  |0.0300|
|  - high_school_world_history          |Yaml   |none  |     0|acc   |0.7806|±  |0.0269|
|  - international_law                  |Yaml   |none  |     0|acc   |0.7686|±  |0.0385|
|  - jurisprudence                      |Yaml   |none  |     0|acc   |0.7500|±  |0.0419|
|  - logical_fallacies                  |Yaml   |none  |     0|acc   |0.7546|±  |0.0338|
|  - moral_disputes                     |Yaml   |none  |     0|acc   |0.6792|±  |0.0251|
|  - moral_scenarios                    |Yaml   |none  |     0|acc   |0.2413|±  |0.0143|
|  - philosophy                         |Yaml   |none  |     0|acc   |0.6945|±  |0.0262|
|  - prehistory                         |Yaml   |none  |     0|acc   |0.7099|±  |0.0253|
|  - professional_law                   |Yaml   |none  |     0|acc   |0.4439|±  |0.0127|
|  - world_religions                    |Yaml   |none  |     0|acc   |0.8129|±  |0.0299|
| - other                               |N/A    |none  |     0|acc   |0.6801|±  |0.1045|
|  - business_ethics                    |Yaml   |none  |     0|acc   |0.5700|±  |0.0498|
|  - clinical_knowledge                 |Yaml   |none  |     0|acc   |0.6868|±  |0.0285|
|  - college_medicine                   |Yaml   |none  |     0|acc   |0.5838|±  |0.0376|
|  - global_facts                       |Yaml   |none  |     0|acc   |0.3900|±  |0.0490|
|  - human_aging                        |Yaml   |none  |     0|acc   |0.6592|±  |0.0318|
|  - management                         |Yaml   |none  |     0|acc   |0.7864|±  |0.0406|
|  - marketing                          |Yaml   |none  |     0|acc   |0.8504|±  |0.0234|
|  - medical_genetics                   |Yaml   |none  |     0|acc   |0.7000|±  |0.0461|
|  - miscellaneous                      |Yaml   |none  |     0|acc   |0.7931|±  |0.0145|
|  - nutrition                          |Yaml   |none  |     0|acc   |0.7092|±  |0.0260|
|  - professional_accounting            |Yaml   |none  |     0|acc   |0.4574|±  |0.0297|
|  - professional_medicine              |Yaml   |none  |     0|acc   |0.6838|±  |0.0282|
|  - virology                           |Yaml   |none  |     0|acc   |0.5060|±  |0.0389|
| - social_sciences                     |N/A    |none  |     0|acc   |0.6974|±  |0.0910|
|  - econometrics                       |Yaml   |none  |     0|acc   |0.4211|±  |0.0464|
|  - high_school_geography              |Yaml   |none  |     0|acc   |0.7525|±  |0.0307|
|  - high_school_government_and_politics|Yaml   |none  |     0|acc   |0.8394|±  |0.0265|
|  - high_school_macroeconomics         |Yaml   |none  |     0|acc   |0.5923|±  |0.0249|
|  - high_school_microeconomics         |Yaml   |none  |     0|acc   |0.6303|±  |0.0314|
|  - high_school_psychology             |Yaml   |none  |     0|acc   |0.7853|±  |0.0176|
|  - human_sexuality                    |Yaml   |none  |     0|acc   |0.7557|±  |0.0377|
|  - professional_psychology            |Yaml   |none  |     0|acc   |0.6160|±  |0.0197|
|  - public_relations                   |Yaml   |none  |     0|acc   |0.6636|±  |0.0453|
|  - security_studies                   |Yaml   |none  |     0|acc   |0.7020|±  |0.0293|
|  - sociology                          |Yaml   |none  |     0|acc   |0.8607|±  |0.0245|
|  - us_foreign_policy                  |Yaml   |none  |     0|acc   |0.8400|±  |0.0368|
| - stem                                |N/A    |none  |     0|acc   |0.5052|±  |0.1145|
|  - abstract_algebra                   |Yaml   |none  |     0|acc   |0.2700|±  |0.0446|
|  - anatomy                            |Yaml   |none  |     0|acc   |0.5630|±  |0.0428|
|  - astronomy                          |Yaml   |none  |     0|acc   |0.6250|±  |0.0394|
|  - college_biology                    |Yaml   |none  |     0|acc   |0.6806|±  |0.0390|
|  - college_chemistry                  |Yaml   |none  |     0|acc   |0.4600|±  |0.0501|
|  - college_computer_science           |Yaml   |none  |     0|acc   |0.5500|±  |0.0500|
|  - college_mathematics                |Yaml   |none  |     0|acc   |0.3400|±  |0.0476|
|  - college_physics                    |Yaml   |none  |     0|acc   |0.4412|±  |0.0494|
|  - computer_security                  |Yaml   |none  |     0|acc   |0.7400|±  |0.0441|
|  - conceptual_physics                 |Yaml   |none  |     0|acc   |0.5277|±  |0.0326|
|  - electrical_engineering             |Yaml   |none  |     0|acc   |0.5724|±  |0.0412|
|  - elementary_mathematics             |Yaml   |none  |     0|acc   |0.3942|±  |0.0252|
|  - high_school_biology                |Yaml   |none  |     0|acc   |0.7419|±  |0.0249|
|  - high_school_chemistry              |Yaml   |none  |     0|acc   |0.4828|±  |0.0352|
|  - high_school_computer_science       |Yaml   |none  |     0|acc   |0.6500|±  |0.0479|
|  - high_school_mathematics            |Yaml   |none  |     0|acc   |0.3407|±  |0.0289|
|  - high_school_physics                |Yaml   |none  |     0|acc   |0.3046|±  |0.0376|
|  - high_school_statistics             |Yaml   |none  |     0|acc   |0.4722|±  |0.0340|
|  - machine_learning                   |Yaml   |none  |     0|acc   |0.4821|±  |0.0474|

|      Groups      |Version|Filter|n-shot|Metric|Value |   |Stderr|
|------------------|-------|------|-----:|------|-----:|---|-----:|
|mmlu              |N/A    |none  |     0|acc   |0.5964|±  |0.1400|
| - humanities     |N/A    |none  |     0|acc   |0.5360|±  |0.1650|
| - other          |N/A    |none  |     0|acc   |0.6801|±  |0.1045|
| - social_sciences|N/A    |none  |     0|acc   |0.6974|±  |0.0910|
| - stem           |N/A    |none  |     0|acc   |0.5052|±  |0.1145|

1 LoRA

hf (pretrained=/scratch/alif/language-models/segment/mistral-7b-base-instruct-qlora), gen_kwargs: (), limit: None, num_fewshot: None, batch_size: 16
|                 Tasks                 |Version|Filter|n-shot|Metric|Value |   |Stderr|
|---------------------------------------|-------|------|-----:|------|-----:|---|-----:|
|mmlu                                   |N/A    |none  |     0|acc   |0.3805|±  |0.0868|
| - humanities                          |N/A    |none  |     0|acc   |0.3388|±  |0.0877|
|  - formal_logic                       |Yaml   |none  |     0|acc   |0.2778|±  |0.0401|
|  - high_school_european_history       |Yaml   |none  |     0|acc   |0.4000|±  |0.0383|
|  - high_school_us_history             |Yaml   |none  |     0|acc   |0.3431|±  |0.0333|
|  - high_school_world_history          |Yaml   |none  |     0|acc   |0.3376|±  |0.0308|
|  - international_law                  |Yaml   |none  |     0|acc   |0.4215|±  |0.0451|
|  - jurisprudence                      |Yaml   |none  |     0|acc   |0.4074|±  |0.0475|
|  - logical_fallacies                  |Yaml   |none  |     0|acc   |0.4233|±  |0.0388|
|  - moral_disputes                     |Yaml   |none  |     0|acc   |0.4017|±  |0.0264|
|  - moral_scenarios                    |Yaml   |none  |     0|acc   |0.2682|±  |0.0148|
|  - philosophy                         |Yaml   |none  |     0|acc   |0.3859|±  |0.0276|
|  - prehistory                         |Yaml   |none  |     0|acc   |0.4568|±  |0.0277|
|  - professional_law                   |Yaml   |none  |     0|acc   |0.2699|±  |0.0113|
|  - world_religions                    |Yaml   |none  |     0|acc   |0.6901|±  |0.0355|
| - other                               |N/A    |none  |     0|acc   |0.4203|±  |0.0890|
|  - business_ethics                    |Yaml   |none  |     0|acc   |0.3900|±  |0.0490|
|  - clinical_knowledge                 |Yaml   |none  |     0|acc   |0.3623|±  |0.0296|
|  - college_medicine                   |Yaml   |none  |     0|acc   |0.3353|±  |0.0360|
|  - global_facts                       |Yaml   |none  |     0|acc   |0.1900|±  |0.0394|
|  - human_aging                        |Yaml   |none  |     0|acc   |0.4709|±  |0.0335|
|  - management                         |Yaml   |none  |     0|acc   |0.4563|±  |0.0493|
|  - marketing                          |Yaml   |none  |     0|acc   |0.4188|±  |0.0323|
|  - medical_genetics                   |Yaml   |none  |     0|acc   |0.4000|±  |0.0492|
|  - miscellaneous                      |Yaml   |none  |     0|acc   |0.5798|±  |0.0177|
|  - nutrition                          |Yaml   |none  |     0|acc   |0.3529|±  |0.0274|
|  - professional_accounting            |Yaml   |none  |     0|acc   |0.2979|±  |0.0273|
|  - professional_medicine              |Yaml   |none  |     0|acc   |0.3382|±  |0.0287|
|  - virology                           |Yaml   |none  |     0|acc   |0.3976|±  |0.0381|
| - social_sciences                     |N/A    |none  |     0|acc   |0.4358|±  |0.0746|
|  - econometrics                       |Yaml   |none  |     0|acc   |0.2632|±  |0.0414|
|  - high_school_geography              |Yaml   |none  |     0|acc   |0.4798|±  |0.0356|
|  - high_school_government_and_politics|Yaml   |none  |     0|acc   |0.5130|±  |0.0361|
|  - high_school_macroeconomics         |Yaml   |none  |     0|acc   |0.4154|±  |0.0250|
|  - high_school_microeconomics         |Yaml   |none  |     0|acc   |0.4286|±  |0.0321|
|  - high_school_psychology             |Yaml   |none  |     0|acc   |0.5358|±  |0.0214|
|  - human_sexuality                    |Yaml   |none  |     0|acc   |0.4580|±  |0.0437|
|  - professional_psychology            |Yaml   |none  |     0|acc   |0.3824|±  |0.0197|
|  - public_relations                   |Yaml   |none  |     0|acc   |0.4182|±  |0.0472|
|  - security_studies                   |Yaml   |none  |     0|acc   |0.2776|±  |0.0287|
|  - sociology                          |Yaml   |none  |     0|acc   |0.4428|±  |0.0351|
|  - us_foreign_policy                  |Yaml   |none  |     0|acc   |0.6400|±  |0.0482|
| - stem                                |N/A    |none  |     0|acc   |0.3495|±  |0.0716|
