hf (pretrained=/scratch/alif/language-models/segment/mistral-7b-instruct-qlora-v2), gen_kwargs: (), limit: None, num_fewshot: 5, batch_size: 1
|                 Tasks                 |Version|Filter|n-shot|Metric|Value |   |Stderr|
|---------------------------------------|-------|------|-----:|------|-----:|---|-----:|
|mmlu                                   |N/A    |none  |     0|acc   |0.3726|±  |0.1053|
| - humanities                          |N/A    |none  |     5|acc   |0.3199|±  |0.1033|
|  - formal_logic                       |Yaml   |none  |     5|acc   |0.1984|±  |0.0357|
|  - high_school_european_history       |Yaml   |none  |     5|acc   |0.3030|±  |0.0359|
|  - high_school_us_history             |Yaml   |none  |     5|acc   |0.2500|±  |0.0304|
|  - high_school_world_history          |Yaml   |none  |     5|acc   |0.2658|±  |0.0288|
|  - international_law                  |Yaml   |none  |     5|acc   |0.3884|±  |0.0445|
|  - jurisprudence                      |Yaml   |none  |     5|acc   |0.4722|±  |0.0483|
|  - logical_fallacies                  |Yaml   |none  |     5|acc   |0.3436|±  |0.0373|
|  - moral_disputes                     |Yaml   |none  |     5|acc   |0.3642|±  |0.0259|
|  - moral_scenarios                    |Yaml   |none  |     5|acc   |0.2402|±  |0.0143|
|  - philosophy                         |Yaml   |none  |     5|acc   |0.4759|±  |0.0284|
|  - prehistory                         |Yaml   |none  |     5|acc   |0.4290|±  |0.0275|
|  - professional_law                   |Yaml   |none  |     5|acc   |0.2679|±  |0.0113|
|  - world_religions                    |Yaml   |none  |     5|acc   |0.7193|±  |0.0345|
| - other                               |N/A    |none  |     5|acc   |0.4664|±  |0.1167|
|  - business_ethics                    |Yaml   |none  |     5|acc   |0.4100|±  |0.0494|
|  - clinical_knowledge                 |Yaml   |none  |     5|acc   |0.4491|±  |0.0306|
|  - college_medicine                   |Yaml   |none  |     5|acc   |0.3064|±  |0.0351|
|  - global_facts                       |Yaml   |none  |     5|acc   |0.3200|±  |0.0469|
|  - human_aging                        |Yaml   |none  |     5|acc   |0.5426|±  |0.0334|
|  - management                         |Yaml   |none  |     5|acc   |0.5146|±  |0.0495|
|  - marketing                          |Yaml   |none  |     5|acc   |0.5897|±  |0.0322|
|  - medical_genetics                   |Yaml   |none  |     5|acc   |0.4800|±  |0.0502|
|  - miscellaneous                      |Yaml   |none  |     5|acc   |0.6628|±  |0.0169|
|  - nutrition                          |Yaml   |none  |     5|acc   |0.3366|±  |0.0271|
|  - professional_accounting            |Yaml   |none  |     5|acc   |0.2624|±  |0.0262|
|  - professional_medicine              |Yaml   |none  |     5|acc   |0.3088|±  |0.0281|
|  - virology                           |Yaml   |none  |     5|acc   |0.3855|±  |0.0379|
| - social_sciences                     |N/A    |none  |     5|acc   |0.4033|±  |0.0704|
|  - econometrics                       |Yaml   |none  |     5|acc   |0.2632|±  |0.0414|
|  - high_school_geography              |Yaml   |none  |     5|acc   |0.5152|±  |0.0356|
|  - high_school_government_and_politics|Yaml   |none  |     5|acc   |0.4715|±  |0.0360|
|  - high_school_macroeconomics         |Yaml   |none  |     5|acc   |0.3590|±  |0.0243|
|  - high_school_microeconomics         |Yaml   |none  |     5|acc   |0.3361|±  |0.0307|
|  - high_school_psychology             |Yaml   |none  |     5|acc   |0.4807|±  |0.0214|
|  - human_sexuality                    |Yaml   |none  |     5|acc   |0.4427|±  |0.0436|
|  - professional_psychology            |Yaml   |none  |     5|acc   |0.3742|±  |0.0196|
|  - public_relations                   |Yaml   |none  |     5|acc   |0.4909|±  |0.0479|
|  - security_studies                   |Yaml   |none  |     5|acc   |0.2571|±  |0.0280|
|  - sociology                          |Yaml   |none  |     5|acc   |0.3731|±  |0.0342|
|  - us_foreign_policy                  |Yaml   |none  |     5|acc   |0.5700|±  |0.0498|
| - stem                                |N/A    |none  |     5|acc   |0.3289|±  |0.0942|
|  - abstract_algebra                   |Yaml   |none  |     5|acc   |0.3100|±  |0.0465|
|  - anatomy                            |Yaml   |none  |     5|acc   |0.4593|±  |0.0430|
